date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:54	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263e29347-154%22	https://www.classcentral.com/robots.txt		(from )
19:44:55	664618/664618	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2000:44:54%20GMT	https://www.classcentral.com/	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/index.html	(from )
19:44:56	9463/9463	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Feb%202023%2011:31:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
19:44:56	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
19:44:57	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
19:44:57	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
19:44:57	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263e290fa-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
19:44:57	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263e290fa-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
19:44:58	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263e290fa-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
19:44:58	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
19:44:58	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
19:44:58	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
